State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alabama,36414.09,37590.80,37889.82,37704.90,38488.39,39534.50,41916.30,43163.41,43190.05,43233.84,42594.36,40813.96,41656.09,41842.96,42082.71,42538.50,42160.70,42563.63,43163.22,43733.70,44364.84,45020.68,44311.75,46334.13,47248.97,48521.13,49563.09
Alaska,64948.78,63675.17,61195.14,63142.68,65237.87,63593.63,65040.21,66582.20,70407.21,73682.69,72624.52,78627.17,75141.59,74801.91,78083.83,74015.12,72262.63,72628.10,71917.98,72177.25,71138.52,71279.17,69441.01,70482.73,68772.45,73568.12,75589.02
Arizona,40442.01,42655.57,43547.23,43782.83,44151.54,46047.56,46880.82,48605.00,49165.65,49713.23,48130.19,43734.71,44092.90,45073.17,45691.56,45586.48,45509.42,46018.48,46959.91,48469.77,49739.60,50875.96,51006.41,54503.08,56088.84,57224.96,58948.49
Arkansas,34232.15,35732.13,35657.22,35492.43,36423.11,37782.06,39488.17,40434.04,40716.07,40028.33,39529.53,37914.94,38678.20,39214.52,39547.59,40561.92,41002.09,40916.73,41280.19,41422.13,42163.65,42347.35,42592.12,45470.64,45500.63,46251.90,47724.25
California,46642.83,49417.95,52498.63,51757.61,52234.42,53761.76,55003.39,56997.87,58866.55,59832.08,59892.84,57104.71,57708.63,58242.26,59398.45,61116.94,62857.88,65336.76,66890.26,69514.17,72110.99,75088.30,74152.58,80503.66,80403.92,81737.78,83865.64
Colorado,50149.56,52304.55,55175.59,54827.78,54271.72,54323.62,54660.45,56562.62,56815.46,58022.30,57632.19,55440.30,55356.89,55473.89,55769.74,57285.42,59038.67,60742.27,61080.73,62541.24,64331.82,66900.54,65757.15,69884.49,72224.03,74597.49,75340.32
Connecticut,63070.03,64629.87,68549.85,68847.01,67743.86,67938.57,72275.90,73625.74,76611.79,78951.73,78349.84,74549.48,74511.63,72771.45,73130.13,71715.91,72098.06,74440.71,74341.49,75917.24,76035.98,76299.90,73112.86,75078.43,77212.16,77745.05,77865.38
Delaware,74000.08,78538.76,80610.20,82600.18,79018.89,78626.70,81529.08,78543.60,79616.46,78156.34,74413.46,77586.84,75898.78,78289.54,76978.73,74167.84,79080.59,80671.36,75477.68,72333.19,72961.41,76046.99,73320.72,74826.95,79473.22,79205.75,81138.44
District of Columbia,155881.74,161514.96,162160.89,167423.49,172751.38,177606.06,187664.71,191987.71,190734.72,195484.05,200286.95,195273.76,199088.51,198611.75,195939.54,192633.07,194014.75,194110.40,196335.76,197304.41,201401.94,202104.56,205432.38,214175.87,211386.90,208313.98,206604.78
Florida,40941.43,42143.82,43236.45,43689.97,44713.75,45979.75,47885.63,49499.10,50052.48,50211.52,48132.41,45059.96,45214.82,44618.17,44521.61,45131.05,45762.96,46966.82,47678.26,48632.19,49709.97,50808.11,49669.88,53712.39,55673.38,57166.40,57858.45
