State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alabama,25163.24,26300.48,27069.99,27651.55,28656.05,30024.51,32749.10,34723.32,35871.80,36861.18,37019.78,35913.65,37073.04,38003.84,38901.89,39870.34,40318.21,41374.62,42344.32,43733.70,45460.85,46924.32,46861.57,51557.49,56513.07,60485.64,63080.02
Alaska,39339.60,39886.55,42891.27,45226.87,46524.64,49529.78,53678.52,60664.34,66565.23,72697.39,80363.28,71779.19,75144.40,78769.71,79770.73,77951.66,76714.84,69777.56,68767.46,72177.25,74232.42,74235.12,70751.21,80829.66,89432.33,92643.03,96695.45
Arizona,29568.53,31140.07,32115.64,32786.95,33512.39,35263.50,36665.07,39047.18,40812.28,42342.65,41558.64,38603.09,39136.81,40615.71,41942.75,42508.27,43240.11,44580.79,46191.31,48469.77,50783.89,53111.47,54333.93,60232.84,66244.42,70935.72,75186.25
Arkansas,23931.39,25370.42,25825.99,26416.12,27515.29,28996.67,31249.83,32768.83,34047.61,34516.35,34860.46,33755.50,34809.86,35966.82,36909.12,38591.51,39644.23,39920.55,40593.22,41422.13,43112.08,44146.77,45163.09,50963.73,55078.86,58028.21,60983.59
California,34670.28,37009.57,39860.93,39828.82,40701.11,42508.69,44556.05,47416.56,50308.39,52419.21,53169.84,50858.50,51941.40,53492.42,55538.59,58060.63,60620.24,63827.20,65941.18,69514.17,73339.26,77592.10,77752.43,87328.56,92438.87,97630.93,102662.38
Colorado,36353.11,38431.23,41439.20,41993.32,42224.41,43088.75,44534.45,47670.15,49329.38,51743.62,52683.57,50242.98,50876.24,51986.85,52955.48,55343.73,57882.77,58972.49,59792.99,62541.24,65867.63,69361.94,68597.45,76673.63,85319.66,90363.97,93602.14
Connecticut,43174.60,44913.62,48515.84,49849.79,49998.12,51032.99,55697.83,58313.66,62491.81,65950.63,66593.55,65031.05,65364.00,64842.83,66544.56,66629.86,68365.67,72164.52,73389.11,75917.24,77684.34,79412.18,77864.61,82449.91,88897.48,93836.91,97096.29
Delaware,48694.88,52190.18,55393.83,58280.65,56893.10,58483.48,62196.95,61584.97,64668.72,65048.38,62510.59,64739.51,64607.41,67582.68,68010.95,67039.58,73354.22,76586.83,73463.41,72333.19,75555.86,80207.33,78390.04,83134.12,95070.24,99700.80,105495.33
District of Columbia,97089.65,103381.58,107101.81,114220.47,122265.39,130249.32,141964.38,150605.41,154817.16,163670.77,171034.54,169580.99,175499.82,178072.22,178409.50,178255.46,183485.71,187560.48,192943.70,197304.41,206045.99,211069.44,218885.08,233962.89,243978.28,253520.46,262439.25
Florida,27675.75,29037.49,30540.22,31738.08,33156.05,34714.71,37153.46,39507.29,41279.72,42571.03,41417.52,39636.65,39962.94,39977.09,40716.66,42028.75,43462.01,45603.16,46972.63,48632.19,50734.61,53093.68,53012.36,59582.29,65850.69,70929.82,73879.01
Georgia,33718.36,35925.18,37111.10,37825.87,38318.16,39377.44,41568.50,43547.63,44307.34,44854.03,43798.74,42602.81,43140.58,44172.13,45358.86,46845.35,48955.08,51561.84,53776.80,55954.16,58179.69,60761.37,59489.05,65418.74,71893.55,75535.47,78840.53
Hawaii,30860.62,32199.41,33859.82,34667.07,36260.91,38700.46,41321.50,44256.16,46458.15,48725.28,49200.28,47868.02,48889.25,49670.36,50983.48,52411.06,53714.33,56282.22,57856.86,59963.06,62285.22,63997.63,58424.44,64742.72,72172.43,77522.10,81338.59
Idaho,25035.43,27054.37,29507.83,28592.07,29089.74,29910.35,32140.21,34171.43,34792.28,35687.33,36630.59,35065.74,35692.71,36182.99,36195.17,38121.73,39303.49,39715.09,40767.32,42039.99,44691.17,46688.30,47613.43,52436.42,57917.92,61177.39,64457.02
Illinois,35572.21,37217.99,39093.24,40006.21,40835.44,42097.27,44487.41,46721.45,49357.24,51143.48,50966.62,50469.22,51686.16,53660.16,56118.74,57322.21,59548.90,61912.96,62847.56,64446.25,67587.28,69699.32,67255.55,74580.62,82217.10,87072.15,90330.15
Indiana,30894.62,32036.12,33510.87,33507.30,34668.92,36366.78,38388.33,39407.87,40904.35,42845.61,43234.81,41014.39,43856.47,44833.28,46020.73,47629.71,49826.46,50258.55,51469.19,53473.70,56107.49,56913.77,55709.44,62393.38,68329.27,72214.85,75027.94
Iowa,29153.41,30083.70,31794.01,32375.26,33626.76,35801.84,39663.46,41446.84,42804.10,45875.59,45662.21,45202.38,46698.02,48542.21,51432.39,52349.84,55652.06,57861.13,58367.33,59165.62,60902.43,61642.46,62500.56,70360.39,76232.32,78661.91,81997.93
Kansas,29407.42,30470.71,31922.80,32887.91,33667.32,34975.10,36174.01,38372.02,41199.34,44403.05,46018.94,44497.48,45205.20,47605.51,49050.62,49969.98,51613.34,53272.30,55390.90,56797.75,59139.10,60015.24,59692.45,64319.45,72640.51,76182.59,77600.72
Kentucky,27606.21,28768.22,28291.07,28948.87,30009.00,31160.22,32728.53,34645.92,36265.19,36859.43,37460.05,36469.55,38319.18,39146.79,40592.40,41875.65,42523.11,43795.85,44404.30,45480.94,46912.41,49059.32,48565.58,52954.14,58104.27,62248.13,64375.30
Louisiana,27076.67,28171.43,29602.25,30863.96,31148.00,34327.93,37563.37,43550.17,48168.21,46569.54,48201.45,45887.87,49849.30,50363.59,51255.98,50051.49,51833.18,50170.01,48540.72,51260.88,54913.34,55203.10,50222.52,59003.33,66243.26,69319.94,71594.26
Maine,25742.06,27402.77,29146.34,30276.02,31377.37,32523.74,34431.83,35659.90,36935.61,37897.81,38332.48,38697.13,39761.64,39926.57,40586.45,41214.07,42298.72,43986.56,45581.02,46842.20,49026.77,51350.11,52990.91,57585.89,62052.98,66977.03,70585.95
Maryland,32541.25,34214.30,36043.54,38193.30,39887.16,41265.45,43889.41,46812.39,48652.95,49991.08,51523.84,52053.23,54203.81,55494.85,56107.19,56996.62,58525.88,60710.78,63562.83,65382.60,66909.46,68041.27,66981.08,72453.19,77814.59,82842.22,87180.60
Massachusetts,39491.93,41610.99,45131.98,46091.17,46736.26,48226.11,50671.75,53196.79,55915.14,58769.91,59966.62,59679.25,62296.47,63897.63,65936.89,66969.89,68880.78,72490.27,74404.08,76178.21,80006.78,83808.51,84759.02,92894.64,99155.98,104416.12,109095.81
Michigan,31589.05,34065.29,35356.21,34943.44,36280.63,37457.72,38662.21,40077.90,40108.82,41056.34,39372.59,37540.11,39795.45,41266.35,42953.05,44379.99,45726.92,47982.00,49390.41,50259.79,52156.57,53604.45,52633.48,57097.34,62101.30,67044.09,69273.58
Minnesota,34874.57,36273.42,38994.96,39510.09,40658.60,42736.68,45589.59,47783.72,48872.44,50171.55,51223.45,49728.63,51701.31,53628.64,55418.04,57400.61,59314.86,61111.21,62128.06,63275.31,65912.39,67672.49,66360.46,72769.17,79940.98,83994.14,87635.41
Mississippi,21866.95,22725.29,23189.10,23747.52,24383.93,25944.90,27234.09,28559.33,30154.41,31374.91,32288.63,31221.77,31911.19,32506.28,33834.18,34501.85,35217.71,35720.34,36120.48,36963.99,38043.74,39115.80,39696.00,44246.63,48173.87,51479.10,53751.18
Missouri,30809.05,32042.22,33351.76,33749.45,34784.47,36081.15,37750.53,39306.40,40360.89,41456.94,43286.93,42660.79,43697.22,43803.49,45212.12,46766.67,47742.01,49299.91,49913.70,50914.78,52287.67,54489.69,54586.93,59337.79,64332.13,69085.37,71846.04
Montana,22875.02,23191.72,24270.92,25136.97,26200.50,28034.24,30256.09,32787.26,34730.58,37437.22,37921.97,36464.19,38430.56,40664.03,41920.98,42895.82,44095.98,44988.71,43851.86,45810.56,47958.14,49015.52,48800.71,54508.20,61570.26,66021.77,68975.68
Nebraska,30575.53,31508.53,33015.70,34674.23,35624.62,38232.16,40268.80,42512.52,44727.05,47263.84,47956.09,48174.64,50235.11,54517.53,55375.11,57238.91,59655.86,61636.33,62129.86,63694.58,65770.03,67954.36,68766.29,76839.15,85100.75,92451.17,94364.02
Nevada,35253.74,37124.62,38232.76,38585.43,39351.01,40627.16,44382.29,48174.20,50190.95,50765.14,49204.80,45619.14,46319.23,47466.26,47544.04,48242.73,48746.49,51046.35,52784.58,55232.66,57306.26,60159.91,56522.71,64194.44,73182.49,78846.71,82329.60
New Hampshire,33789.50,34608.32,36781.85,37464.90,38697.13,40324.90,42279.29,43831.27,45975.05,47225.18,47188.43,47908.04,49586.10,50348.09,51539.12,53259.30,54843.56,57588.83,59030.19,59731.16,61438.11,64051.02,64581.44,71654.40,76484.44,81605.61,84693.97
