State,1940,1950,1960,1970,1980,1990,2000,2010,2018,2019,2020,2021
Alabama,60.2,65.9,67.9,69.2,72.3,73.7,74.4,75.3,75.5,75.2,73.2,72.0
Alaska,58.1,65.8,67.2,69.2,72.4,75.0,76.2,77.9,78.2,77.7,76.6,74.5
Arizona,59.0,66.1,69.3,70.9,74.2,76.2,77.1,79.1,79.3,78.8,76.3,75.0
Arkansas,64.3,69.0,69.9,70.8,73.3,74.4,74.8,76.0,75.9,75.7,73.8,72.5
California,65.3,69.3,70.8,71.8,74.3,75.8,78.1,80.5,81.2,80.9,79.0,78.3
Colorado,64.7,69.2,70.9,72.1,75.4,77.2,78.4,80.0,80.2,80.0,78.3,77.7
Connecticut,66.3,70.1,71.1,72.6,74.9,77.1,78.3,80.7,80.6,80.3,78.4,79.2
Delaware,65.0,67.1,69.1,69.9,73.2,75.0,76.4,78.2,78.4,78.1,76.7,76.3
District of Columbia,56.0,63.7,66.3,65.2,68.9,67.4,72.1,76.8,78.5,78.0,75.3,75.3
Florida,61.6,67.8,69.9,70.8,73.8,75.7,77.0,78.9,79.6,79.0,77.5,76.1
Georgia,60.2,65.8,67.5,68.4,72.1,73.8,75.1,77.2,77.7,77.4,75.6,74.3
Hawaii,65.8,70.0,71.3,74.0,77.1,78.2,79.5,81.2,81.6,80.9,80.7,79.9
Idaho,66.9,69.2,71.4,72.0,75.2,77.2,78.1,79.4,79.6,79.5,78.4,77.2
Illinois,64.8,68.0,69.6,70.1,73.3,74.9,76.6,78.9,79.3,79.0,76.8,77.1
Indiana,64.9,68.6,70.3,70.9,73.9,75.4,76.0,77.5,77.1,77.0,75.0,74.6
Iowa,68.1,70.5,71.9,72.6,75.8,77.5,78.3,79.6,79.1,79.0,77.5,77.7
Kansas,67.3,70.3,71.9,72.8,75.2,77.0,77.4,78.5,78.3,78.2,76.4,76.0
Kentucky,62.1,67.5,69.6,70.0,72.8,74.4,75.1,75.8,75.6,75.5,73.5,72.3
Louisiana,61.2,66.6,67.9,68.7,71.6,73.1,74.1,75.7,76.0,75.7,73.1,72.2
Maine,64.8,69.1,70.2,70.7,74.4,76.6,77.6,79.1,78.4,78.3,77.8,76.7
Maryland,61.6,67.1,68.6,70.2,73.3,74.9,76.2,78.9,79.0,78.5,76.8,77.2
Massachusetts,65.7,69.7,70.5,71.9,74.8,76.8,78.2,80.5,80.7,80.4,79.0,79.6
Michigan,65.1,68.5,70.2,70.7,73.7,75.1,76.4,78.0,78.1,78.0,76.0,75.7
Minnesota,67.9,70.5,71.8,73.0,76.1,77.8,79.0,80.8,80.6,80.4,79.1,78.8
Mississippi,60.3,65.5,67.6,68.4,71.8,73.1,73.4,74.8,74.5,74.4,71.9,70.9
Missouri,64.5,68.6,70.2,70.6,73.6,75.3,76.0,77.4,77.2,76.9,75.1,74.6
Montana,65.0,68.1,69.6,70.8,73.8,76.4,77.3,78.5,78.6,78.4,76.8,75.8
Nebraska,68.3,70.7,72.0,72.5,75.4,76.9,78.3,79.6,79.4,79.2,77.7,77.8
Nevada,61.6,66.0,67.6,69.3,72.6,74.5,75.9,77.8,78.3,78.0,76.3,75.1
New Hampshire,66.2,69.3,70.7,71.6,75.1,77.0,78.5,80.3,79.6,79.4,79.0,78.5
New Jersey,64.5,68.4,69.9,71.0,73.8,75.4,77.3,79.9,80.5,80.1,77.5,79.0
New Mexico,59.0,65.9,69.3,70.5,73.8,76.0,77.1,78.1,77.2,76.9,74.5,73.0
New York,64.9,68.2,69.7,70.5,73.4,74.6,77.6,80.2,81.2,80.7,77.7,79.0
North Carolina,61.9,66.9,68.2,69.3,73.0,74.7,75.6,77.8,77.8,77.6,76.1,74.9
North Dakota,67.4,70.0,71.5,73.0,75.6,77.5,78.8,79.6,79.2,78.8,76.9,77.6
Ohio,64.7,68.7,70.2,70.8,73.3,75.3,76.3,77.6,77.0,76.9,75.3,74.5
Oklahoma,65.3,69.8,70.8,71.1,73.6,75.0,75.0,75.7,75.9,75.7,74.1,72.7
Oregon,66.9,69.8,71.0,72.4,74.9,76.5,77.8,79.5,79.6,79.6,78.8,77.4
Pennsylvania,63.9,67.7,69.5,70.4,73.3,75.4,76.7,78.4,78.5,78.3,76.8,76.4
Rhode Island,65.5,68.5,70.6,71.7,74.6,76.4,78.0,79.5,79.8,79.5,78.2,78.5
South Carolina,57.1,64.3,66.1,68.1,71.8,73.6,74.7,76.7,76.9,76.8,74.8,73.5
South Dakota,67.1,69.8,70.5,72.3,74.8,77.1,78.0,79.2,78.5,78.4,76.7,76.6
Tennessee,62.4,67.1,69.4,70.0,73.1,74.2,74.7,76.1,75.8,75.6,73.8,72.4
Texas,62.8,67.8,70.2,70.8,73.6,75.2,76.5,78.3,78.8,78.6,76.5,75.4
Utah,66.8,69.9,71.8,72.8,75.8,78.0,78.6,79.8,79.9,79.7,78.6,78.2
Vermont,65.6,69.3,70.4,71.9,74.3,76.7,78.2,80.0,79.9,79.8,78.8,78.4
Virginia,59.9,66.4,68.7,70.2,73.3,75.3,76.8,79.0,79.3,79.1,77.6,76.8
Washington,66.4,69.4,71.1,71.9,75.0,76.8,78.2,80.0,80.2,80.0,79.2,78.2
West Virginia,62.8,67.4,69.6,69.2,72.6,74.4,74.9,75.4,74.7,74.5,72.8,71.0
Wisconsin,67.4,69.7,71.1,72.5,75.3,76.9,78.0,79.6,79.3,79.3,77.7,77.8
Wyoming,65.1,68.0,69.2,70.8,73.8,76.4,77.1,78.0,78.3,77.7,76.3,75.0
