State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,52159.85,50940.27,50817.20,50887.25,50817.65,51352.28,51117.35,52219.86,52432.53,53486.38,56037.93,56316.42,55959.22,58540.16,59950.46,60525.98
Alaska,96808.04,84081.60,89525.41,91822.28,91933.40,88788.48,85604.93,76455.42,74109.62,75843.10,76481.72,76346.78,72992.07,77121.65,81839.23,82000.21
Arizona,50757.81,46704.16,47848.67,49375.38,50582.50,50220.36,50457.24,51572.35,52550.18,54569.53,56197.00,57564.18,57265.68,62350.26,61868.68,63165.45
Arkansas,49556.36,48652.80,48356.64,48493.91,48840.96,50165.30,50701.59,50795.73,50999.00,51511.78,53284.15,53318.05,53559.71,57318.65,59176.73,60390.71
California,59866.10,57203.11,58224.20,58856.71,59890.03,61572.72,63043.68,65313.22,67318.04,69053.56,70554.29,73988.00,72625.70,78063.94,76666.96,78074.56
Colorado,63846.35,61081.32,62172.85,60564.43,60701.26,62402.45,64174.43,64771.11,65292.43,66934.92,70747.44,71710.80,69122.34,74574.36,77896.32,80245.69
Connecticut,75469.80,73011.70,75093.19,72404.93,73164.24,71929.79,73010.27,75925.24,76555.49,78049.27,80418.97,80962.37,77471.18,80182.36,78130.29,81475.73
Delaware,77615.90,78879.18,78211.95,81085.48,80795.89,79060.88,84078.07,88530.02,83652.18,80865.17,81995.54,86008.89,84689.95,85320.02,90588.37,90436.19
District of Columbia,190522.00,186666.45,188934.07,187977.52,188862.08,182469.18,183468.05,187285.88,192403.34,197489.02,199042.90,204779.38,206382.89,209670.47,202189.07,205989.38
Florida,51005.44,49094.54,48963.88,47762.66,47645.01,48518.46,49246.83,50991.44,52134.48,53125.10,54479.71,56462.69,55093.65,58760.82,60124.21,61727.29
Georgia,58208.31,57747.72,56141.26,56832.38,56311.03,57462.62,58950.58,61667.02,63536.07,64702.07,66095.57,68212.11,65838.68,68314.60,70117.34,70326.04
Hawaii,56125.01,52906.07,54938.12,54453.90,55626.89,54264.37,55505.58,57142.74,59056.84,59823.53,60536.89,60670.68,53941.84,57542.43,60651.50,64260.92
Idaho,48285.13,45997.97,47076.35,46300.72,45776.78,47314.91,47935.48,47679.33,49167.32,48997.15,52497.00,53518.95,54696.93,57229.39,58907.92,60243.92
Illinois,63653.61,61857.99,62448.08,63367.58,65709.53,66490.29,68266.85,70854.59,70819.14,70815.04,72570.62,74256.90,70083.42,73602.44,75817.75,79299.03
Indiana,58854.62,55128.60,57925.24,58419.99,58646.86,59594.80,61428.41,62200.34,63143.68,64832.83,65172.46,64971.96,63476.44,67403.48,69426.89,70527.45
Iowa,65409.38,62650.73,62932.62,65032.86,66943.69,66931.11,69835.48,73088.15,73096.02,73041.44,71432.25,71146.57,72126.11,78388.11,80549.70,79781.13
Kansas,64108.50,60304.76,59758.00,61799.01,62153.66,62722.77,63295.40,64943.41,67431.98,68352.33,68863.92,68559.08,67647.64,70489.38,75624.68,76237.63
Kentucky,52221.23,51280.41,52132.38,52152.13,52949.34,53595.48,53386.89,54670.58,54942.05,55664.66,56732.65,58028.34,57002.57,59328.38,60684.12,61946.75
Louisiana,65995.22,63341.18,66513.71,65447.13,65252.34,62649.90,63439.07,61202.98,58178.32,61135.56,65168.33,64174.30,57610.00,64562.84,68363.14,70642.07
Maine,48674.25,48695.74,50035.81,49980.83,49468.02,48702.74,52183.89,51885.30,52532.60,52880.31,54064.31,56909.49,56603.90,59172.91,57531.09,62102.25
Maryland,59270.31,58621.60,61451.19,61142.61,61764.40,61054.12,61981.27,63678.15,66465.36,67493.97,67768.20,68613.64,65831.42,68274.78,69234.44,71738.42
Massachusetts,70669.50,70399.58,73137.03,73478.85,74646.49,75366.73,75302.01,78203.96,77137.88,78260.61,80346.90,82873.96,81234.16,87036.23,84590.88,86851.05
Michigan,51420.37,48635.16,50855.60,52206.53,53450.04,54184.11,54727.68,57962.36,59164.47,59739.88,59479.41,59571.11,58283.45,60578.16,61936.11,64087.10
Minnesota,66275.97,62725.39,65125.29,66411.39,67281.67,68460.09,68930.64,70809.53,71636.36,72054.01,71302.43,72619.56,70984.36,74006.56,76574.05,76836.24
Mississippi,45914.42,45391.00,44467.60,44075.76,45193.27,45153.02,45261.81,45836.11,45793.14,46386.00,47560.20,47908.61,48499.81,51312.94,51502.56,53093.79
Missouri,61254.82,58672.56,57683.29,57025.68,57820.81,58571.05,58431.85,60476.46,61047.73,61169.01,61360.77,62409.72,61933.54,64495.50,65971.52,67781.39
Montana,50444.17,48673.43,51096.37,51967.43,53179.87,53697.71,52949.27,53611.43,52398.36,53561.66,55927.19,55110.60,55479.35,59636.99,63752.71,65865.21
Nebraska,66998.00,66113.41,67029.22,71810.46,70918.53,72436.41,74232.86,76471.31,76687.16,78128.37,77108.70,77814.66,77472.29,83572.59,88401.60,92097.22
Nevada,60860.65,55088.12,56509.06,55935.26,55333.50,56195.22,56179.39,58622.43,60926.18,60966.34,64170.05,64495.09,60810.13,67280.60,70930.58,73196.22
New Hampshire,55588.67,56648.68,58575.68,58586.14,59201.12,60214.50,61359.66,62720.84,62969.13,62230.19,63924.60,65251.75,64145.26,69862.42,66233.69,69741.83
New Jersey,65907.55,61572.61,62965.68,61366.77,62416.05,63360.98,63007.34,64737.14,65204.33,64812.90,65142.30,66220.32,64426.21,68534.26,69853.82,71130.79
New Mexico,55209.51,52610.41,53459.41,51872.27,51405.85,51518.36,52864.23,51391.68,51169.51,51069.20,55250.07,56072.71,54313.97,59819.11,62897.34,65048.88
New York,64769.25,66966.77,69992.08,68977.55,72229.65,72648.48,75231.13,77016.98,78687.51,80665.28,83163.95,85613.51,84184.04,88938.72,91222.54,92500.15
North Carolina,61222.37,59634.68,58437.37,57449.16,57792.92,58373.18,59500.53,61792.85,62732.57,63651.22,64098.33,65901.41,65749.40,66713.21,67670.41,69858.47
North Dakota,70945.97,68799.74,72799.28,81337.40,94824.39,94950.91,101304.60,92708.68,84221.63,91576.18,92423.25,89154.89,82276.66,91636.28,101115.40,100349.15
Ohio,58840.89,55904.93,57197.99,59368.35,59631.89,60796.88,62949.61,64668.32,65061.69,66592.12,66271.62,67735.25,66795.89,70425.85,71937.08,73308.60
Oklahoma,61616.49,55779.59,56125.55,58533.32,59605.63,60820.45,63385.15,59545.79,57046.94,59525.10,62449.66,61963.48,56546.91,61056.49,64646.18,64221.29
Oregon,55668.76,51933.43,52638.24,52898.72,52129.34,52953.16,54271.71,55878.04,58267.80,59047.51,58643.83,60234.30,59816.61,62984.28,61260.46,63644.24
Pennsylvania,58705.42,57325.88,58997.64,59734.07,60841.80,62033.87,63453.82,64041.48,65074.83,64773.18,66011.06,66801.24,64100.67,67539.75,68549.00,68552.44
Rhode Island,53860.56,53953.24,56383.43,56290.04,57311.76,56799.44,57899.77,58208.17,58788.58,58239.46,58055.21,59383.24,58075.90,59832.21,58544.26,61398.48
South Carolina,49455.70,48392.57,47781.29,47947.57,48107.13,49014.14,50111.63,51925.43,53106.77,53768.78,55024.60,56937.79,55812.50,56019.30,57711.97,59708.55
South Dakota,68046.00,65796.70,64769.55,70522.98,69325.69,69676.99,71090.87,73598.17,74337.54,74897.26,71953.58,72148.69,73298.88,78423.03,81075.22,82863.75
Tennessee,55866.25,55181.06,54215.37,54705.32,56018.04,57040.66,57752.64,60223.96,60819.02,62428.97,65254.34,65288.55,65304.99,70266.24,70649.56,72321.90
Texas,66547.55,61207.14,62669.76,65548.64,66446.96,68492.59,68757.98,66733.21,65092.06,66934.65,69893.15,69525.07,65553.18,72753.11,78802.24,79515.01
United States,60805.08,58724.75,59796.16,60255.58,61139.94,61968.86,63029.10,64364.83,65027.16,66166.73,67729.04,69122.43,67405.32,71441.42,72823.89,74341.27
Utah,56693.21,51990.63,53840.44,53566.73,53794.95,54874.05,56380.30,57867.90,60071.17,61433.58,65898.04,67844.72,68929.24,73871.46,76141.14,77953.03
Vermont,51970.96,51341.22,54137.28,55046.50,54950.56,53888.95,55808.87,55377.12,57067.85,55966.67,56161.89,57611.33,55047.63,58399.93,58779.82,63093.40
Virginia,62310.86,62871.19,62920.91,62322.44,62640.90,62055.93,61711.92,63247.50,64467.62,65924.37,66357.02,69194.31,67842.63,69542.65,70126.11,73943.13
