State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alabama,,,,,,,,,,,41664.55,40938.90,41338.32,42247.61,42978.39,44166.41,44729.92,46122.47,46747.98,48540.14,52021.85,53143.74,53518.77,58540.16,64214.29,67228.68,
Alaska,,,,,,,,,,,77328.89,67573.42,72826.33,76232.69,77751.52,76364.05,74908.06,67528.20,66074.91,68829.39,71000.48,72045.65,69808.79,77121.65,87659.85,91080.99,
Arizona,,,,,,,,,,,40544.62,37534.49,38923.51,40992.43,42779.52,43192.88,44152.30,45550.56,46852.87,49523.13,52169.51,54321.21,54768.25,62350.26,66268.94,70160.45,
Arkansas,,,,,,,,,,,39584.92,39100.54,39336.73,40260.61,41306.63,43145.52,44366.11,44864.63,45469.86,46748.14,49465.42,50314.29,51223.90,57318.65,63385.53,67078.43,
California,,,,,,,,,,,47820.20,45972.12,47363.70,48864.02,50651.25,52956.67,55165.98,57687.00,60019.65,62667.72,65497.85,69819.76,69458.40,78063.94,82119.71,86720.61,
Colorado,,,,,,,,,,,50999.56,49088.90,50575.81,50281.80,51337.33,53670.29,56155.43,57208.19,58213.65,60745.01,65677.17,67670.85,66107.82,74574.36,83436.50,89132.16,
Connecticut,,,,,,,,,,,60284.21,58676.93,61086.14,60112.02,61877.74,61864.45,63887.18,67059.92,68255.61,70831.54,74655.56,76401.21,74092.56,80182.36,83687.12,90498.42,
Delaware,,,,,,,,,,,61998.49,63392.42,63623.16,67318.79,68332.11,67997.66,73571.99,78192.92,74582.90,73387.03,76119.14,81163.43,80996.51,85320.02,97031.24,100451.17,
District of Columbia,,,,,,,,,,,152186.27,150017.24,153692.40,156062.70,159727.74,156935.74,160542.57,165417.67,171543.64,179225.90,184778.04,193242.79,197382.26,209670.47,216569.27,228800.82,
Florida,,,,,,,,,,,40742.42,39455.55,39830.70,39653.52,40295.17,41729.13,43093.13,45037.49,46482.24,48212.27,50575.30,53281.77,52690.95,58760.82,64400.39,68563.03,
Georgia,,,,,,,,,,,46495.97,46409.81,45669.29,47183.38,47624.35,49421.71,51584.34,54466.54,56647.71,58718.64,61358.68,64369.26,62967.37,68314.60,75104.26,78114.01,
Hawaii,,,,,,,,,,,44831.86,42518.74,44690.57,45208.71,47045.75,46671.00,48569.81,50470.53,52654.10,54291.26,56198.38,57252.69,51589.36,57542.43,64965.19,71377.23,
Idaho,,,,,,,,,,,38569.48,36966.95,38295.25,38439.78,38715.14,40694.00,41945.64,42112.11,43836.77,44466.06,48734.69,50503.87,52311.53,57229.39,63097.60,66915.38,
Illinois,,,,,,,,,,,50845.61,49713.08,50799.71,52609.03,55573.01,57186.11,59736.48,62581.33,63141.17,64266.31,67369.68,70073.52,67026.99,73602.44,81210.10,88080.67,
Indiana,,,,,,,,,,,47012.24,44304.91,47120.51,48501.45,49599.85,51255.53,53752.55,54937.59,56297.86,58837.31,60501.73,61311.65,60708.15,67403.48,74364.71,78337.73,
Iowa,,,,,,,,,,,52248.08,50350.18,51193.87,53991.58,56616.79,57565.25,61109.10,64554.09,65171.21,66286.81,66312.90,67138.41,68980.60,78388.11,86278.60,88616.16,
Kansas,,,,,,,,,,,51208.97,48464.81,48611.40,51306.78,52565.68,53945.79,55386.25,57360.37,60121.24,62031.34,63928.63,64696.69,64697.44,70489.38,81003.29,84680.25,
Kentucky,,,,,,,,,,,41713.58,41212.26,42408.18,43297.74,44781.24,46095.71,46715.86,48287.03,48985.42,50516.98,52666.78,54759.21,54516.62,59328.38,65000.13,68806.79,
Louisiana,,,,,,,,,,,52716.05,50905.07,54106.98,54335.52,55186.35,53883.12,55511.96,54056.69,51870.82,55481.95,60497.90,60558.93,55097.55,64562.84,73225.30,78465.04,
Maine,,,,,,,,,,,38880.30,39135.05,40702.68,41495.09,41836.96,41887.63,45663.18,45826.97,46837.20,47990.12,50189.67,53703.39,54135.33,59172.91,61622.85,68979.51,
Maryland,,,,,,,,,,,47344.29,47112.11,49988.76,50761.82,52236.47,52510.63,54236.33,56242.84,59259.41,61252.35,62911.43,64748.17,62960.43,68274.78,74158.57,79682.80,
Massachusetts,,,,,,,,,,,56449.80,56577.66,59494.86,61003.61,63131.33,64820.45,65892.55,69072.56,68774.86,71023.33,74588.66,78205.12,77691.43,87036.23,90607.20,96469.01,
Michigan,,,,,,,,,,,41073.87,39086.36,41369.56,43342.90,45204.70,46601.97,47889.12,51194.45,52750.06,54215.34,55216.68,56215.07,55741.63,60578.16,66341.16,71184.16,
Minnesota,,,,,,,,,,,52940.31,50410.18,52977.54,55136.06,56902.63,58880.27,60317.33,62541.53,63869.79,65390.70,66192.38,68528.41,67888.63,74006.56,82020.19,85345.16,
Mississippi,,,,,,,,,,,36675.79,36479.14,36173.11,36592.58,38221.64,38834.63,39606.06,40484.11,40828.40,42096.38,44151.69,45209.60,46384.67,51312.94,55165.55,58973.45,
Missouri,,,,,,,,,,,48929.48,47153.07,46923.69,47343.86,48901.23,50375.03,51130.42,53415.00,54429.14,55512.31,56963.21,58893.76,59232.53,64495.50,70663.58,75287.56,
Montana,,,,,,,,,,,40294.09,39117.12,41565.42,43144.40,44976.21,46183.64,46332.93,47351.56,46717.51,48608.46,51919.04,52005.85,53059.82,59636.99,68286.96,73159.18,
Nebraska,,,,,,,,,,,53517.05,53133.02,54526.33,59618.48,59978.46,62300.18,64957.00,67542.23,68373.00,70903.32,71582.53,73430.84,74093.62,83572.59,94688.95,102296.15,
Nevada,,,,,,,,,,,48614.62,44272.38,45968.49,46438.57,46797.62,48331.66,49159.43,51777.45,54320.78,55328.38,59571.16,60861.65,58158.12,67280.60,75975.34,81302.04,
New Hampshire,,,,,,,,,,,44403.44,45526.54,47649.62,48639.38,50068.61,51788.51,53692.39,55397.31,56142.23,56475.35,59343.30,61575.68,61347.80,69862.42,70944.40,77465.10,
New Jersey,,,,,,,,,,,52646.02,49483.74,51220.76,50947.92,52787.60,54494.69,55134.18,57178.18,58135.10,58819.22,60473.73,62489.69,61616.50,68534.26,74822.00,79007.87,
New Mexico,,,,,,,,,,,44100.57,42281.13,43487.69,43065.40,43475.86,44309.25,46258.52,45390.99,45621.89,46346.49,51290.44,52913.76,51945.26,59819.11,67370.76,72252.45,
New York,,,,,,,,,,,51736.76,53818.83,56936.53,57266.54,61087.33,62482.57,65830.53,68024.18,70156.48,73205.63,77203.82,80790.33,80512.66,88938.72,97710.51,102743.70,
North Carolina,,,,,,,,,,,48903.56,47926.29,47537.11,47695.44,48877.64,50204.85,52065.57,54577.68,55931.33,57764.97,59504.57,62188.74,62881.98,66713.21,72483.30,77594.66,
North Dakota,,,,,,,,,,,56670.64,55291.92,59220.11,67527.94,80196.54,81664.15,88645.96,81883.66,75090.61,83107.52,85799.53,84132.20,78688.47,91636.28,108306.99,111461.90,
Ohio,,,,,,,,,,,47001.27,44928.82,46528.91,49288.79,50432.92,52289.40,55083.67,57117.40,58007.93,60433.91,61522.12,63919.27,63882.83,70425.85,77053.43,81426.85,
Oklahoma,,,,,,,,,,,49218.38,44828.09,45656.51,48595.53,50410.71,52309.67,55464.78,52592.99,50862.11,54020.42,57974.06,58472.66,54080.83,61056.49,69243.98,71333.21,
Oregon,,,,,,,,,,,44467.42,41737.06,42819.69,43917.57,44087.74,45543.27,47490.12,49353.51,51950.61,53587.00,54440.99,56840.90,57207.92,62984.28,65617.46,70692.26,
Pennsylvania,,,,,,,,,,,46893.06,46070.79,47992.87,49592.42,51456.19,53353.29,55524.87,56563.75,58019.64,58783.18,61280.22,63037.88,61305.15,67539.75,73424.38,76143.99,
Rhode Island,,,,,,,,,,,43023.05,43360.32,45866.29,46733.12,48470.70,48851.33,50664.83,51411.56,52414.92,52853.67,53894.55,56037.79,55543.13,59832.21,62708.08,68197.80,
South Carolina,,,,,,,,,,,39504.52,38891.40,38868.70,39807.03,40686.00,42155.44,43849.87,45862.41,47349.12,48796.42,51081.14,53730.10,53378.45,56019.30,61816.59,66320.72,
South Dakota,,,,,,,,,,,54354.18,52878.48,52688.15,58549.59,58631.33,59926.89,62207.62,65004.56,66278.12,67971.01,66796.86,68084.07,70102.22,78423.03,86841.49,92040.16,
Tennessee,,,,,,,,,,,44625.17,44347.07,44102.64,45417.45,47376.56,49058.80,50536.08,53191.98,54225.24,56655.75,60577.73,61610.41,62456.95,70266.24,75674.34,80330.89,
Texas,,,,,,,,,,,53157.24,49190.01,50980.04,54419.80,56196.68,58908.22,60166.24,58941.18,58035.01,60744.75,64884.09,65608.26,62694.32,72753.11,84406.86,88320.57,
United States,,,,,,,,,,,48570.23,47195.01,48642.44,50025.39,51708.33,53297.38,55153.22,56849.34,57977.14,60047.85,62875.09,65228.30,64465.68,71441.42,78003.31,82573.89,
Utah,,,,,,,,,,,45285.73,41783.03,43797.64,44472.17,45496.41,47195.36,49335.23,51111.02,53558.46,55752.41,61175.31,64022.57,65923.14,73871.46,81556.49,86585.61,
Vermont,,,,,,,,,,,41513.67,41261.13,44039.11,45700.70,46473.75,46348.11,48835.20,48911.08,50880.75,50791.06,52136.92,54365.69,52646.93,58399.93,62960.39,70080.41,
Virginia,,,,,,,,,,,49773.03,50527.36,51184.34,51741.34,52977.75,53372.26,54000.63,55862.48,57478.26,59827.90,61601.39,65296.13,64883.92,69542.65,75113.66,82131.65,
Washington,,,,,,,,,,,51391.24,50168.40,52539.23,53550.87,56282.43,58344.13,59910.17,62400.99,63418.02,65876.43,70527.42,73789.53,74111.44,81143.86,86409.78,93956.14,
West Virginia,,,,,,,,,,,39065.40,40014.35,40163.76,41851.41,42371.01,42850.52,43880.31,42902.93,43217.54,46324.79,49282.06,50348.12,49553.18,53649.94,62478.14,63847.40,
Wisconsin,,,,,,,,,,,46846.19,46112.97,47443.01,49545.20,51056.55,52485.92,54620.80,57018.20,58201.06,58956.85,60884.51,62447.54,63074.74,67248.23,73964.93,78230.16,
Wyoming,,,,,,,,,,,82036.15,67061.49,69703.97,71577.80,69805.39,69606.12,71686.04,68242.00,63467.01,67176.50,74634.55,73923.92,69714.32,79935.26,92823.45,96609.28,
